Impacts of the factors of supply,Agreement,Evidence,Confidence
Impact of regulations,High,High,High
Impact of environmental regulations,High,Low,Medium
Availability of infrastructure,High,Low,Medium
Supply chains and construction cost,High,Low,Medium
Impacts of the factors of demand,Agreement,Evidence,Confidence
Affordability,High,Low,Medium
Availability of finance,Low,Low,Low
Household size,High,Low,Medium
Monetary policy and mortgage rates,High,High,High
Population and migration,High,Medium,Medium
Tax policy and housing subsidies,High,Low,Medium
